gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,7,Red,jng,Xun,oe:player:fbdc4428b2d095c83aebeed5da4e4b2,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Vi,Syndra,Maokai,Renekton,Akali,LeBlanc,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,8,Red,mid,Yagao,oe:player:4860d1660ce45bd15a600953309135c,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Taliyah,Syndra,Maokai,Renekton,Akali,LeBlanc,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,9,Red,bot,Elk,oe:player:a58a0d41103cdc5b58cbb547eeaca2d,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Lucian,Syndra,Maokai,Renekton,Akali,LeBlanc,1882
9693-9693_game_2,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 12:43,2,13.01,10,Red,sup,ON,oe:player:90651ebea9a35ec4e018c8157492e17,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Nami,Syndra,Maokai,Renekton,Akali,LeBlanc,1882
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,1,Blue,top,369,oe:player:0c74b7f78409a4022a2c4c5a5ca3ee1,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Jayce,Kindred,Ryze,K'Sante,Fiora,Galio,2874
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,2,Blue,jng,Kanavi,oe:player:41deab55354f57a94135989133f9968,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Sejuani,Kindred,Ryze,K'Sante,Fiora,Galio,2874
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,3,Blue,mid,knight,oe:player:ed29043422e3c515e1cb292464b990b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Syndra,Kindred,Ryze,K'Sante,Fiora,Galio,2874
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,4,Blue,bot,Ruler,oe:player:eada4723af6f51cf2391d85b5fde49b,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Varus,Kindred,Ryze,K'Sante,Fiora,Galio,2874
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,5,Blue,sup,Missing,oe:player:2aee0be2678ee90fd327cc186826438,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,Heimerdinger,Kindred,Ryze,K'Sante,Fiora,Galio,2874
9693-9693_game_3,partial,https://lpl.qq.com/es/stats.shtml?bmid=9693,LPL,2023,Spring,0,1/14/2023 13:36,3,13.01,6,Red,top,Bin,oe:player:fb66ef5885b4be9323905b821dc3a42,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,Camille,Maokai,Lucian,Yuumi,Vi,Viego,2874
